isbn,bookclub_year,bookclub_month
452260116,1996,10
140003342X,1996,10
385265700,1996,11
671021001,1996,12
375500723,1997,5
590956167,1997,9
375702709,1997,9
375703063,1997,10
452280397,1998,1
425169693,1998,3
385333137,1998,4
446672211,1998,12
316601950,1999,3
316284955,1999,5
316182540,1999,5
671774670,1999,6
440235596,1999,9
752864777,1999,9
385720106,1999,12
006019491X,2000,2
61120251,2000,2
452282195,2000,4
452287065,2000,4
345443284,2000,5
345420748,2000,5
60930535,2000,6
60786507,2000,6
057120175X,2000,6
345435168,2000,8
613997638,2000,8
99461269,2000,8
074726743X,2000,8
345439104,2000,9
788759892,2000,11
452282829,2001,1
142000205,2001,3
446678457,2001,6
1841156736,2001,9
140003065X,2001,11
743466527,2002,1
452283868,2002,4
1400033438,2002,4
452263492,2002,4
99760010,2002,4
142004235,2003,6
613996984,2003,6
60740450,2004,1
1417735988,2004,1
006112009X,2004,1
60750766,2004,1
140157514,2004,1
618084746,2004,4
141185228,2004,4
143035002,2004,5
451528611,2004,5
140449175,2004,5
1593080271,2004,5
486437965,2004,5
1593081774,2004,5
142000272,2004,5
809596814,2004,5
307276902,2005,9
307265439,2007,3
312422156,2007,6
965045641,2007,6
140003468X,2007,10
816147175,2007,10
