,isbn,bestseller_year
218,330485385,2003
219,159413023X,2003
311,076792603X,2006
334,385340540,2005
907,60594527,1934
997,60837551,1978
1008,1401308589,2005
1012,767904419,2004
1017,446696129,2000
1023,446691798,2002
1129,1841156736,2001
1229,1400079179,2006
1269,143039431,1939
1271,582461537,1939
1275,142004235,1953
1328,345463153,2001
1336,141183594,1934
1433,385333900,1980
1464,316769029,1962
1486,345439104,2000
1497,452280397,1998
1546,385339682,2004
1547,440234743,1999
1548,385339607,1995
1549,385339100,1997
1550,385339097,1998
1551,385339593,2002
1552,385339674,2000
1553,385339658,2003
1554,99481685,2002
1556,385339089,1993
1557,385337930,2001
1560,141009829,1944
1605,446528056,2006
1849,142437298,1965
1940,143036696,2005
2028,618391118,1978
2067,446611085,2001
2071,446612545,2002
2073,316969680,2002
2110,739322060,1958
2125,606298231,1992
2268,141185872,1994
2389,375708731,1974
2484,1415929017,2005
2701,141185937,2002
2843,743289412,2006
2851,1416524347,1984
2852,8497597729,1994
2859,307348245,1981
2860,451190750,1985
2865,450417395,1987
2867,074323359X,1987
2892,684839741,1979
2893,684841215,1975
2906,684844648,1950
2952,802142842,1998
2954,1401303277,2007
2965,184416411X,2014
3060,451025016,1964
3088,045121658X,1936
3151,2226131906,2001
3158,045052468X,1990
3160,671042858,1999
3196,1400078652,2017
3218,552992097,1982
3219,552120405,1982
3237,99285568,1968
3241,224014013,1977
3325,743277708,1974
3326,60935456,1974
3405,60930055,1940
3412,312265050,1948
3441,143038109,1991
3478,375760385,1966
3479,375760377,1961
3480,812970438,1979
3483,449452697,1975
3493,141185538,1942
3499,375756868,1947
3506,014011890X,1989
3536,1844080382,1939
3617,1594831955,1995
3626,316117366,2007
3627,316014508,2007
3645,755300203,2003
3704,751504386,1985
3706,670691992,1985
3708,5550707004,1990
4079,316955132,1955
4149,743496728,2007
4156,61120073,1944
4345,60539259,2018
4346,006083756X,1940
4380,573605734,1973
4382,553582755,2002
4395,316168815,2003
4434,446532436,2005
4567,553804790,2006
4569,553589490,1997
4657,553381539,1995
4702,843946334,2003
5011,451166582,1987
5013,679723161,1958
5093,446675539,1937
5218,141185325,1937
5256,261102427,1978
5258,48231533,1978
5306,553213393,2013
5542,310243882,2020
5730,553502697,2001
5733,1586215981,2004
5851,345441702,1985
5855,451217403,1970
5865,743211375,2002
5969,689869037,2014
6047,452287146,2018
6050,1562802348,2018
6258,618894640,2007
6427,385339690,1996
6594,441008933,1962
6906,399153721,2006
6987,141187190,1934
6997,552145025,1998
7128,394756967,1950
7217,61145394,1967
7533,552152110,2013
7900,446618675,1999
8120,1400034205,1944
8424,425203891,2020
8429,425195481,1990
8436,553582917,1996
8448,385339704,1992
8480,851703682,1958
8482,679410430,1958
8511,451213599,1990
8512,831727527,1992
8650,708823602,1982
8725,613996984,1953
8881,034548357X,2013
9863,751514624,1982
9925,076076896X,1999
10037,751536822,2005
10039,743298020,2006
10043,553026003,1975
10046,517168952,2015
10049,99416271,1961
10059,141185856,1940
10228,743264916,2007
10230,743497287,2005
10233,671004530,2001
10252,553580833,2020
10281,451207793,1980
10402,752858505,1988
10431,1117066037,1940
10475,871136791,1998
10487,553258478,1959
10538,037576142X,1988
10611,6178731,1980
10614,743484312,1999
10700,1565125606,2011
11002,99416158,2001
